Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget
18416,Mr. Lee Rose,M,11th,Bailey High School,99,98,7,District,4976,3124928
19672,Amanda Morgan,F,10th,Bailey High School,99,98,7,District,4976,3124928
20025,Peter Tucker,M,9th,Bailey High School,99,98,7,District,4976,3124928
21508,Michael Cooper,M,9th,Bailey High School,99,98,7,District,4976,3124928
18273,Connie Patterson,F,11th,Bailey High School,99,97,7,District,4976,3124928
21236,Darius Atkinson,M,9th,Bailey High School,99,97,7,District,4976,3124928
22086,Diana Bradley,F,9th,Bailey High School,99,97,7,District,4976,3124928
22112,Robert Beck,M,12th,Bailey High School,99,97,7,District,4976,3124928
22346,Victor Walker,M,10th,Bailey High School,99,97,7,District,4976,3124928
22474,Jason Hall,M,12th,Bailey High School,99,97,7,District,4976,3124928
22548,Nicholas Harper,M,11th,Bailey High School,99,97,7,District,4976,3124928
18264,Robert Gray,M,10th,Bailey High School,99,96,7,District,4976,3124928
18644,Latasha Cummings,F,11th,Bailey High School,99,96,7,District,4976,3124928
18993,Richard Hernandez,M,9th,Bailey High School,99,96,7,District,4976,3124928
18911,Mr. Angel Johnson,M,9th,Bailey High School,99,95,7,District,4976,3124928
19633,Rachel Hall,F,11th,Bailey High School,99,95,7,District,4976,3124928
22650,Crystal Maldonado,F,9th,Bailey High School,99,95,7,District,4976,3124928
20139,Rebecca Jordan,F,12th,Bailey High School,99,94,7,District,4976,3124928
22196,Donna Brewer,F,12th,Bailey High School,99,94,7,District,4976,3124928
22618,Jessica Arroyo,F,10th,Bailey High School,99,94,7,District,4976,3124928
20712,Justin Cunningham,M,11th,Bailey High School,99,93,7,District,4976,3124928
22087,John Gonzalez,M,9th,Bailey High School,99,93,7,District,4976,3124928
18400,Anthony Stone,M,12th,Bailey High School,99,91,7,District,4976,3124928
19566,Joshua Love,M,9th,Bailey High School,99,91,7,District,4976,3124928
18684,Edwin Watkins,M,10th,Bailey High School,99,90,7,District,4976,3124928
19515,Jeffery Perez,M,11th,Bailey High School,99,90,7,District,4976,3124928
21494,Benjamin Evans,M,10th,Bailey High School,99,90,7,District,4976,3124928
21805,James Garcia,M,12th,Bailey High School,99,90,7,District,4976,3124928
18887,Abigail Smith,F,12th,Bailey High School,99,89,7,District,4976,3124928
20066,Jeffrey Wilson,M,11th,Bailey High School,99,89,7,District,4976,3124928
21047,Candace Frank,F,9th,Bailey High School,99,89,7,District,4976,3124928
22106,Justin Richard,M,12th,Bailey High School,99,89,7,District,4976,3124928
18881,Caroline Zimmerman,F,11th,Bailey High School,99,88,7,District,4976,3124928
19293,Kenneth Hartman,M,9th,Bailey High School,99,88,7,District,4976,3124928
21655,Nicole Goodwin,F,9th,Bailey High School,99,88,7,District,4976,3124928
18438,Mr. Lucas Smith,M,12th,Bailey High School,99,87,7,District,4976,3124928
21879,Evan Moore,M,9th,Bailey High School,99,87,7,District,4976,3124928
20175,Melissa Johnson,F,10th,Bailey High School,99,85,7,District,4976,3124928
18118,Rita Gordon,F,11th,Bailey High School,99,84,7,District,4976,3124928
19157,Jessica Nguyen,F,12th,Bailey High School,99,84,7,District,4976,3124928
19314,Jeanette Carlson,F,12th,Bailey High School,99,84,7,District,4976,3124928
22403,Tara Douglas,F,9th,Bailey High School,99,84,7,District,4976,3124928
18231,Ethan Beltran,M,12th,Bailey High School,99,83,7,District,4976,3124928
21860,Christopher Nelson,M,12th,Bailey High School,99,83,7,District,4976,3124928
22534,Christine Garcia,F,9th,Bailey High School,99,83,7,District,4976,3124928
20191,Abigail Perez,F,9th,Bailey High School,99,82,7,District,4976,3124928
18450,Jennifer Reynolds,F,12th,Bailey High School,99,81,7,District,4976,3124928
20606,Michael Levine,M,11th,Bailey High School,99,81,7,District,4976,3124928
18051,Daniel Cross,M,11th,Bailey High School,99,80,7,District,4976,3124928
19593,Diane Vargas,F,9th,Bailey High School,99,80,7,District,4976,3124928
17882,Michael Dean,M,9th,Bailey High School,99,79,7,District,4976,3124928
20742,Audrey Fields,F,9th,Bailey High School,99,77,7,District,4976,3124928
21737,Robin Brown,F,9th,Bailey High School,99,77,7,District,4976,3124928
18992,Pamela Williams,F,11th,Bailey High School,99,76,7,District,4976,3124928
